epoch,train_loss,val_accuracy,val_f1,val_precision,val_recall,val_auc_roc,true_positives,false_positives,true_negatives,false_negatives
1.0,0.67680243901444,0.7196610169491525,0.709110094970102,0.7477744807121661,0.6742474916387959,0.7202852578468893,1008.0,340.0,1115.0,487.0
2.0,0.541941085603179,0.7827118644067796,0.8172226974622184,0.7122266401590457,0.9585284280936455,0.7802951418818744,1433.0,579.0,876.0,62.0
3.0,0.47407418384461547,0.795593220338983,0.8249637155297532,0.7287179487179487,0.9505016722408027,0.7934638945396453,1421.0,529.0,926.0,74.0
4.0,0.4559585952419576,0.7505084745762712,0.8020441097364174,0.6707152496626181,0.9973244147157191,0.7471158156052822,1491.0,732.0,723.0,4.0
5.0,0.43736351198620266,0.811864406779661,0.8367166813768756,0.7468487394957983,0.9511705685618729,0.8099495454493215,1422.0,482.0,973.0,73.0
6.0,0.4388563699192471,0.8125423728813559,0.8367286684381459,0.7489429175475687,0.9478260869565217,0.8106828029284328,1417.0,475.0,980.0,78.0
7.0,0.438083917629428,0.7603389830508475,0.8068833652007649,0.6819021237303786,0.9879598662207358,0.757210173660196,1477.0,689.0,766.0,18.0
8.0,0.4226265013379456,0.8183050847457627,0.8399044205495818,0.7587695628710199,0.9404682274247491,0.8166258662896941,1406.0,447.0,1008.0,89.0
9.0,0.4284499934937573,0.8108474576271186,0.8297742525930445,0.7627593942793045,0.9096989966555183,0.8094886735854909,1360.0,423.0,1032.0,135.0
10.0,0.4636458675793516,0.8159322033898305,0.838248436103664,0.7556390977443609,0.9411371237458194,0.8142111735567584,1407.0,455.0,1000.0,88.0
11.0,0.4251445396563548,0.8196610169491525,0.8408138839018552,0.760693015701137,0.939799331103679,0.8180096311875783,1405.0,442.0,1013.0,90.0
12.0,0.4144882252868921,0.8210169491525424,0.8425760286225402,0.7600860677783755,0.9451505016722408,0.8193106460251238,1413.0,446.0,1009.0,82.0
13.0,0.41726886398262447,0.8155932203389831,0.8400940623162846,0.7493445201887782,0.9558528428093646,0.8136652530198026,1429.0,478.0,977.0,66.0
14.0,0.40594965918115805,0.8233898305084746,0.8426457263666566,0.7681718061674009,0.9331103678929766,0.8218816444275879,1395.0,421.0,1034.0,100.0
15.0,0.40312777504042235,0.8244067796610169,0.8415902140672783,0.7752112676056339,0.9204013377926421,0.8230872668344653,1376.0,399.0,1056.0,119.0
16.0,0.4005570895465086,0.828135593220339,0.8469664956233022,0.7717271727172718,0.9384615384615385,0.8266190853819719,1403.0,415.0,1040.0,92.0
17.0,0.40123315014167205,0.8084745762711865,0.836940836940837,0.7360406091370558,0.9698996655518395,0.8062556747003182,1450.0,520.0,935.0,45.0
18.0,0.398232486593691,0.6942372881355933,0.5980392156862745,0.8958611481975968,0.4488294314381271,0.6976105920077234,671.0,78.0,1377.0,824.0
19.0,0.39617513168633467,0.8250847457627118,0.8455089820359282,0.7653116531165312,0.9444816053511705,0.8234435518164788,1412.0,433.0,1022.0,83.0
20.0,0.39070364420976095,0.8284745762711865,0.8429546865301055,0.7863346844238563,0.9083612040133779,0.8273764782953488,1358.0,369.0,1086.0,137.0
