epoch,train_loss,val_accuracy,val_f1,val_precision,val_recall,val_auc_roc,true_positives,false_positives,true_negatives,false_negatives
1.0,0.9653387560753964,0.5274576271186441,0.42633744855967076,0.5540106951871657,0.3464882943143813,0.5299451780850257,518.0,417.0,1038.0,977.0
2.0,0.7214531002005911,0.5430508474576271,0.48033924441017734,0.5668789808917197,0.41672240802675586,0.544787320851866,623.0,476.0,979.0,872.0
3.0,0.7104240982190058,0.5471186440677966,0.41963509991311904,0.5985130111524164,0.3230769230769231,0.5501982553528946,483.0,324.0,1131.0,1012.0
4.0,0.705428070007624,0.5406779661016949,0.40803844473569245,0.5881612090680101,0.31237458193979933,0.5438161569492811,467.0,327.0,1128.0,1028.0
5.0,0.7017164702014871,0.5467796610169492,0.42887654848355405,0.5933806146572104,0.3357859531772575,0.5496799181693848,502.0,344.0,1111.0,993.0
6.0,0.6986352092205348,0.5966101694915255,0.5941336971350614,0.6061238691718859,0.5826086956521739,0.5968026296130285,871.0,566.0,889.0,624.0
7.0,0.6966211073766879,0.556271186440678,0.42002658396101017,0.6220472440944882,0.31705685618729096,0.5595593559286971,474.0,288.0,1167.0,1021.0
8.0,0.6944473831634211,0.5501694915254237,0.40144339197113216,0.6163434903047091,0.2976588628762542,0.553640428001701,445.0,277.0,1178.0,1050.0
9.0,0.6929084154648509,0.5572881355932203,0.4521812080536913,0.6062992125984252,0.3605351170568562,0.559992644439081,539.0,350.0,1105.0,956.0
10.0,0.6910992870485879,0.5623728813559322,0.46275488972118184,0.6123348017621145,0.37190635451505016,0.5649909779448103,556.0,352.0,1103.0,939.0
11.0,0.6894114107943485,0.5461016949152543,0.4667463162086818,0.5767716535433071,0.3919732441471572,0.5482202990495236,586.0,430.0,1025.0,909.0
12.0,0.6886465454166174,0.5447457627118644,0.4364246747796895,0.5855855855855856,0.34782608695652173,0.5474525623786045,520.0,368.0,1087.0,975.0
13.0,0.687688624632714,0.5393220338983051,0.5645626401794297,0.541820418204182,0.5892976588628762,0.5386350837269708,881.0,745.0,710.0,614.0
14.0,0.6862402005893428,0.5559322033898305,0.5875314861460957,0.555026769779893,0.6240802675585284,0.5549954602397453,933.0,748.0,707.0,562.0
15.0,0.6849688947362306,0.5528813559322034,0.5989662511401642,0.5490523968784838,0.6588628762541806,0.5514245652748566,985.0,809.0,646.0,510.0
16.0,0.685502652553362,0.543728813559322,0.4920754716981132,0.5645021645021645,0.4361204013377926,0.5452079669919204,652.0,503.0,952.0,843.0
17.0,0.6838212848355777,0.5389830508474577,0.5234758234057463,0.5496688741721855,0.49966555183946487,0.5395234975692169,747.0,612.0,843.0,748.0
18.0,0.6836161674845832,0.54,0.5823330255463219,0.5393386545039909,0.6327759197324415,0.5387247296256709,946.0,808.0,647.0,549.0
19.0,0.6832433313858218,0.5172881355932203,0.624868282402529,0.5154280747501087,0.7933110367892977,0.5134940063671574,1186.0,1115.0,340.0,309.0
20.0,0.6825056202043362,0.52,0.5283144570286475,0.5262110152621101,0.5304347826086957,0.5198565665620798,793.0,714.0,741.0,702.0
