epoch,train_loss,val_accuracy,val_f1,val_precision,val_recall,val_auc_roc,true_positives,false_positives,true_negatives,false_negatives
1.0,0.661262000237054,0.7125423728813559,0.7234181343770385,0.705919796308084,0.7418060200668897,0.7121401234355067,1109.0,462.0,993.0,386.0
2.0,0.5228065750624752,0.7501694915254238,0.7869326394911824,0.6929735234215886,0.9103678929765886,0.7479674516429334,1361.0,603.0,852.0,134.0
3.0,0.4866405642291072,0.7694915254237288,0.791921664626683,0.7298364354201917,0.8655518394648829,0.768171108735878,1294.0,479.0,976.0,201.0
4.0,0.46868947968088837,0.7779661016949152,0.7991413676786262,0.7378255945639864,0.8715719063545151,0.7766794239676356,1303.0,463.0,992.0,192.0
5.0,0.45468891450383153,0.7850847457627118,0.8078787878787879,0.7385041551246537,0.8916387959866221,0.7836200852785344,1333.0,472.0,983.0,162.0
6.0,0.44486130406539937,0.7857627118644068,0.7930582842174198,0.7767799871712636,0.8100334448160535,0.7854290935420474,1211.0,348.0,1107.0,284.0
7.0,0.436823605764203,0.7888135593220339,0.8087196806877495,0.7474460839954598,0.8809364548494983,0.7875472652254365,1317.0,445.0,1010.0,178.0
8.0,0.4263713180938064,0.7986440677966101,0.8062622309197651,0.7867600254614895,0.8267558528428094,0.7982576515073154,1236.0,335.0,1120.0,259.0
9.0,0.42020435150722824,0.7932203389830509,0.8143639683505782,0.7470686767169179,0.8949832775919733,0.7918215357032031,1338.0,453.0,1002.0,157.0
10.0,0.4159602858025207,0.7966101694915254,0.8053212199870214,0.7819785759294265,0.8301003344481606,0.7961498235814685,1241.0,346.0,1109.0,254.0
11.0,0.4139420737419025,0.795593220338983,0.7966273187183811,0.8034013605442177,0.7899665551839465,0.7956705628153411,1181.0,289.0,1166.0,314.0
12.0,0.4043735498739129,0.7966101694915254,0.8128509045539614,0.7615429573348919,0.8715719063545151,0.7955797676102472,1303.0,408.0,1047.0,192.0
13.0,0.4039352729230069,0.8,0.8052805280528053,0.7947882736156352,0.8160535117056856,0.7997793331724304,1220.0,315.0,1140.0,275.0
14.0,0.397581215513754,0.7993220338983051,0.8151155527795128,0.7644991212653779,0.8729096989966555,0.7983105196014206,1305.0,402.0,1053.0,190.0
15.0,0.3898733215845697,0.7976271186440678,0.7923478260869565,0.8253623188405798,0.7618729096989967,0.7981185854336909,1139.0,241.0,1214.0,356.0
16.0,0.38546507876255326,0.8003389830508475,0.7980802194034967,0.8185654008438819,0.7785953177257525,0.8006378650484431,1164.0,258.0,1197.0,331.0
17.0,0.3818622233098761,0.7986440677966101,0.8164400494437577,0.758759333716255,0.8836120401337793,0.7974761231596732,1321.0,420.0,1035.0,174.0
18.0,0.37960637092267274,0.7986440677966101,0.8166666666666667,0.7581661891117478,0.8849498327759198,0.7974577342573755,1323.0,422.0,1033.0,172.0
19.0,0.3716458447257355,0.8061016949152542,0.8135593220338984,0.7933884297520661,0.8347826086956521,0.8057074555505752,1248.0,325.0,1130.0,247.0
20.0,0.37027723396696693,0.8040677966101695,0.8185812931575643,0.7711413364872857,0.8722408026755852,0.8031307106161432,1304.0,387.0,1068.0,191.0
