epoch,train_loss,val_accuracy,val_f1,val_precision,val_recall,val_auc_roc,true_positives,false_positives,true_negatives,false_negatives
1.0,0.6922955695529617,0.49322033898305084,0.0,0.0,0.0,0.5,0.0,0.0,1455.0,1495.0
2.0,0.5347734155855205,0.7094915254237288,0.7751246392023091,0.6377374784110535,0.9879598662207358,0.7056637819076188,1477.0,839.0,616.0,18.0
3.0,0.4451228811488888,0.819322033898305,0.8383378829238702,0.7669256381798002,0.9244147157190635,0.8178774609523153,1382.0,420.0,1035.0,113.0
4.0,0.4389555292723948,0.820677966101695,0.8406146429647484,0.7648026315789473,0.9331103678929766,0.8191325035341172,1395.0,429.0,1026.0,100.0
5.0,0.432101398544906,0.7830508474576271,0.8175598631698974,0.7123695976154992,0.9591973244147157,0.7806295900424095,1434.0,579.0,876.0,61.0
6.0,0.4268151285444818,0.8186440677966101,0.8393875712999099,0.761437908496732,0.9351170568561873,0.8170430645105679,1398.0,438.0,1017.0,97.0
7.0,0.42439918438108953,0.8203389830508474,0.8385131017672152,0.7700055959709009,0.9204013377926421,0.8189635554942593,1376.0,411.0,1044.0,119.0
8.0,0.4195590433551044,0.8094915254237288,0.8341204250295159,0.7464342313787639,0.9451505016722408,0.807626797227873,1413.0,480.0,975.0,82.0
9.0,0.41368292587074806,0.816271186440678,0.8384982121573301,0.7560451370231058,0.9411371237458194,0.8145548161684424,1407.0,454.0,1001.0,88.0
10.0,0.4180337839575641,0.8016949152542373,0.8293963254593176,0.7352637021716649,0.9511705685618729,0.7996402670988059,1422.0,512.0,943.0,73.0
11.0,0.4138775800221012,0.82,0.8402046343665363,0.7636761487964989,0.9337792642140468,0.8184360238596007,1396.0,432.0,1023.0,99.0
12.0,0.4082226260971571,0.819322033898305,0.8399879915941159,0.7619825708061002,0.9357859531772575,0.8177211552827869,1399.0,437.0,1018.0,96.0
13.0,0.40582575861031445,0.820677966101695,0.8407106293285155,0.764512595837897,0.9337792642140468,0.8191233090829684,1396.0,430.0,1025.0,99.0
14.0,0.40426358136381235,0.8257627118644068,0.8441479684657368,0.7720465890183028,0.9311036789297659,0.8243147260628212,1392.0,411.0,1044.0,103.0
15.0,0.4001390534203227,0.8240677966101695,0.8429652042360061,0.7696132596685082,0.9317725752508361,0.8225873185532531,1393.0,417.0,1038.0,102.0
16.0,0.3996192358212096,0.8247457627118644,0.8430955993930197,0.7716666666666666,0.9290969899665552,0.8233113815812158,1389.0,411.0,1044.0,106.0
17.0,0.4036688882564788,0.8179661016949152,0.8393658390667066,0.7591991341991342,0.9384615384615385,0.8163098070314565,1403.0,445.0,1010.0,92.0
18.0,0.39906100169591463,0.8227118644067797,0.8424224163904791,0.7664473684210527,0.9351170568561873,0.821166775850774,1398.0,426.0,1029.0,97.0
19.0,0.3997660933875133,0.8230508474576271,0.8379888268156425,0.781702374059062,0.903010033444816,0.821951752117597,1350.0,377.0,1078.0,145.0
20.0,0.3968374422249109,0.8138983050847458,0.8382916053019146,0.7489473684210526,0.9518394648829431,0.8120022066682757,1423.0,477.0,978.0,72.0
